,house_id,house_name,price_per_night,rating,review_num,house_url
57,24312164,Cozy master bedroom with bathroom,99,4.80,9,https://www.airbnb.com/rooms/18477382?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=386da28f-27ee-be7b-5944-27d82f84c3e4&amp;federated_search_id=5b5df0cf-cd5e-4919-96c8-595d342ba6b5
58,14805561,700Sqft Venice Apartment,115,0,0,https://www.airbnb.com/rooms/40753983?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=386da28f-27ee-be7b-5944-27d82f84c3e4&amp;federated_search_id=5b5df0cf-cd5e-4919-96c8-595d342ba6b5
59,37878744,Eco-Villa's Suite,72,4.94,125,https://www.airbnb.com/rooms/38488177?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=386da28f-27ee-be7b-5944-27d82f84c3e4&amp;federated_search_id=5b5df0cf-cd5e-4919-96c8-595d342ba6b5
60,21581385,"Walk to Disney 2 bedroom/1bath, w kitchen, laundry",59,4.55,35,https://www.airbnb.com/rooms/34367154?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=386da28f-27ee-be7b-5944-27d82f84c3e4&amp;federated_search_id=5b5df0cf-cd5e-4919-96c8-595d342ba6b5
61,14984250,"Private room, spacious, quiet neighborhood",59,4.91,23,https://www.airbnb.com/rooms/15179890?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=386da28f-27ee-be7b-5944-27d82f84c3e4&amp;federated_search_id=5b5df0cf-cd5e-4919-96c8-595d342ba6b5
62,17905019,BEAUTIFUL LUXURY STAY DTLA,138,4.70,248,https://www.airbnb.com/rooms/17905019?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=d8dea5c2-67a8-a592-54e0-37af2f0c2277&amp;federated_search_id=ec141356-f24e-43ed-820b-75024b9350c5
63,38494821,308-Industrial Style Cozy Studio by DTLA  4ppl,40,0,23,https://www.airbnb.com/rooms/40162653?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=d8dea5c2-67a8-a592-54e0-37af2f0c2277&amp;federated_search_id=ec141356-f24e-43ed-820b-75024b9350c5
64,22215734,The Den,49,4.44,45,https://www.airbnb.com/rooms/21581385?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=d8dea5c2-67a8-a592-54e0-37af2f0c2277&amp;federated_search_id=ec141356-f24e-43ed-820b-75024b9350c5
65,39965050,Hollywood Resort Life - Luxe Studio @ Walk of Fame,159,4.82,0,https://www.airbnb.com/rooms/29079022?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=d8dea5c2-67a8-a592-54e0-37af2f0c2277&amp;federated_search_id=ec141356-f24e-43ed-820b-75024b9350c5
66,5184818,RENOVATED INDUSTRIAL LOFT BY DREAM HOTEL HOLLYWOOD,183,4.86,97,https://www.airbnb.com/rooms/24853223?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=d8dea5c2-67a8-a592-54e0-37af2f0c2277&amp;federated_search_id=ec141356-f24e-43ed-820b-75024b9350c5
67,13982111,Cozy private room & bath with it's  own entrance.,60,4.89,151,https://www.airbnb.com/rooms/967783?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=d8dea5c2-67a8-a592-54e0-37af2f0c2277&amp;federated_search_id=ec141356-f24e-43ed-820b-75024b9350c5
68,30048816,Luxury Modern Spacious Private Room,60,4.91,0,https://www.airbnb.com/rooms/25542862?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=d8dea5c2-67a8-a592-54e0-37af2f0c2277&amp;federated_search_id=ec141356-f24e-43ed-820b-75024b9350c5
69,39775029,Master-bedroom3 in townhouse. Close by Downtown LA,139,4.94,55,https://www.airbnb.com/rooms/30858845?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=d8dea5c2-67a8-a592-54e0-37af2f0c2277&amp;federated_search_id=ec141356-f24e-43ed-820b-75024b9350c5
70,31085930,"Guest Suite, Private Ent., 5 min LAX, Westchester",99,4.67,402,https://www.airbnb.com/rooms/39567922?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=d8dea5c2-67a8-a592-54e0-37af2f0c2277&amp;federated_search_id=ec141356-f24e-43ed-820b-75024b9350c5
